Identity,Gender,Born_USA?,Ethnicity,Name_Change?,Genre=drama,Birth,Final,Alive,?Films,?FourStar_Films,?Wins,?Noms,FirstFilm_Year,FirstWin_Year,FirstNom_Year
71,Male,Yes,White,Yes,Yes,1928,2001,Yes,67,5,0,1,1957,,1957
72,Male,Yes,White,No,No,1927,1988,No,52,13,0,0,1955,,
73,Male,No,White,No,Yes,1937,2001,Yes,70,14,1,4,1960,1991,1968
74,Male,No,White,No,Yes,1902,1977,No,38,10,0,0,1946,,
75,Male,Yes,White,No,Yes,1932,1992,No,59,7,0,1,1953,,1956
76,Male,No,White,No,Yes,1913,1989,No,68,13,0,1,1936,,1969
77,Male,No,White,No,Yes,1916,2001,Yes,156,14,2,4,1936,1952,1952
78,Male,Yes,White,No,Yes,1909,1975,No,96,3,0,0,1937,,
79,Male,Yes,White,No,Yes,1889,1964,No,32,5,0,0,1935,,
80,Female,Yes,White,No,No,1939,2001,Yes,26,1,0,0,1963,,
81,Male,No,White,No,Yes,1930,2001,Yes,54,4,0,1,1964,,1996
82,Male,Yes,White,No,No,1918,2001,Yes,108,11,1,1,1941,1974,1974
83,Male,Yes,White,No,Yes,1914,1985,No,11,3,0,0,1942,,
84,Male,Yes,White,No,No,1911,1979,No,56,7,0,1,1942,,1952
85,Male,Yes,White,No,Yes,1914,1990,No,81,10,0,5,1918,,1949
86,Male,Yes,White,No,Yes,1908,1981,No,69,8,0,2,1938,,1955
87,Male,Yes,White,No,Yes,1908,1983,No,113,8,0,0,1941,,
88,Female,No,White,Yes,No,1929,1993,No,30,11,1,5,1951,1953,1953
89,Female,Yes,White,No,Yes,1918,2001,Yes,47,7,0,0,1944,,
90,Female,Yes,White,No,Yes,1922,1990,No,72,10,0,1,1941,,1953
91,Female,No,White,No,Yes,1923,1990,No,18,4,0,0,1956,,
92,Male,Yes,White,No,No,1928,2001,Yes,16,2,0,0,1962,,
93,Male,Yes,White,Yes,No,1949,2001,Yes,17,3,0,0,1982,,
94,Female,Yes,White,Yes,Yes,1931,2001,Yes,31,6,0,1,1956,,1979
95,Female,Yes,White,No,Yes,1927,1990,No,15,5,0,0,1954,,
96,Female,Yes,White,No,Yes,1922,2001,Yes,15,4,0,1,1947,,1948
97,Female,Yes,White,No,No,1922,2001,Yes,71,5,0,0,1943,,
98,Female,Yes,White,Yes,No,1935,2001,Yes,29,5,0,1,1965,,1971
99,Female,Yes,White,Yes,Yes,1948,2001,Yes,57,8,0,1,1968,,1969
100,Female,Yes,White,No,Yes,1943,2001,Yes,4,0,0,0,1968,,
101,Female,Yes,White,No,Yes,1909,1980,No,17,4,0,1,1937,,1937
102,Female,No,White,No,No,1947,2001,Yes,19,2,0,0,1968,,
103,Female,Yes,White,Yes,Yes,1907,1990,No,95,11,0,4,1927,,1937
104,Female,Yes,White,No,Yes,1942,2001,Yes,30,7,1,2,1963,1968,1968
105,Female,No,White,No,Yes,1924,2001,Yes,7,1,0,0,1944,,
106,Male,Yes,White,No,Yes,1934,2001,Yes,18,1,0,0,1955,,
107,Male,No,White,Yes,Yes,1888,1961,No,44,8,1,2,1930,1944,1944
108,Male,Yes,White,No,Yes,1894,1971,No,21,8,0,0,1923,,
109,Male,Yes,White,No,Yes,1958,2001,Yes,16,5,0,0,1975,,
110,Male,Yes,White,Yes,Yes,1920,2001,Yes,35,3,0,0,1941,,
111,Male,Yes,White,No,Yes,1938,2001,Yes,45,2,0,0,1968,,
112,Male,Yes,White,Yes,Yes,1912,1994,No,104,7,0,0,1943,,
113,Male,Yes,White,No,Yes,1937,1996,No,36,3,0,0,1968,,
114,Male,No,White,No,Yes,1892,1967,No,103,22,0,2,1921,,1936
115,Female,Yes,Multiracial,No,Yes,1926,2000,No,29,8,0,1,1959,,1967
116,Female,Yes,White,No,Yes,1918,2001,Yes,26,5,1,1,1951,1976,1976
117,Female,Yes,White,No,Yes,1976,2001,Yes,1,0,0,0,1984,,
118,Female,Yes,White,No,Yes,1891,1932,No,35,3,0,0,1916,,
119,Male,Yes,White,No,Yes,1972,2001,Yes,12,3,0,0,1987,,
120,Male,Yes,White,No,No,1918,1996,No,79,16,1,1,1943,1971,1953
121,Male,No,White,No,Yes,1943,2001,Yes,37,8,1,2,1973,1982,1982
122,Male,Yes,White,No,Yes,1915,1989,No,47,10,0,0,1936,,
123,Male,Yes,White,No,Yes,1900,1980,No,29,5,0,0,1937,,
124,Male,Yes,Multiracial,No,Yes,1916,1987,No,55,4,0,0,1936,,
125,Male,No,White,No,Yes,1938,2001,Yes,15,2,0,0,1957,,
126,Male,Yes,White,No,No,1891,1971,No,131,10,0,0,1921,,
127,Female,Yes,White,No,No,1900,1984,No,166,31,0,0,1923,,
128,Female,Yes,White,Yes,Yes,1898,1986,No,98,9,0,1,1915,,1929
129,Female,Yes,White,No,Yes,1952,2001,Yes,6,0,0,0,1984,,
130,Female,Yes,White,Yes,Yes,1923,2001,Yes,22,6,0,1,1947,,1955
131,Female,Yes,White,No,Yes,1929,2001,Yes,19,3,0,0,1953,,
132,Female,Yes,White,No,Yes,1908,1989,No,122,26,2,11,1931,1935,1934
133,Female,Yes,White,No,No,1945,2001,Yes,31,3,0,2,1966,,1979
134,Female,Yes,White,No,Yes,1893,1972,No,90,9,0,0,1918,,
135,Female,Yes,White,No,Yes,1897,1974,No,108,4,0,1,1916,,1929
136,Female,Yes,White,No,Yes,1918,1973,No,22,9,0,0,1939,,
137,Female,Yes,White,No,Yes,1938,2001,Yes,4,0,0,0,1956,,
138,Female,Yes,White,No,Yes,1888,1981,No,66,14,0,2,1931,,1936
139,Female,Yes,White,Yes,Yes,1926,2001,Yes,60,6,0,0,1940,,
140,Male,Yes,White,No,Yes,1931,2001,Yes,13,2,0,0,1972,,
141,Female,Yes,White,No,No,1885,1970,No,75,10,0,1,1916,,1938
142,Male,Yes,White,No,No,1906,2001,Yes,141,14,0,0,1935,,
143,Male,Yes,White,No,Yes,1955,2001,Yes,25,5,0,2,1987,,1996
144,Male,Yes,White,No,No,1910,1984,No,11,3,0,0,1950,,
145,Male,Yes,White,Yes,No,1901,1977,No,113,12,1,3,1930,1944,1944
146,Female,Yes,White,No,Yes,1944,2001,Yes,42,10,0,0,1970,,
147,Male,Yes,White,No,Yes,1942,2001,Yes,66,8,0,0,1969,,
148,Male,Yes,White,No,Yes,1945,2001,Yes,36,8,0,0,1981,,
149,Male,No,White,No,Yes,1942,2001,Yes,47,3,0,1,1972,,1986
150,Male,Yes,White,Yes,No,1936,1973,No,23,2,0,1,1952,,1963
151,Male,Yes,White,No,Yes,1931,1999,No,13,5,0,0,1938,,
152,Female,Yes,White,No,Yes,1923,1988,No,57,8,0,1,1932,,1936
153,Female,Yes,White,No,Yes,1929,2001,Yes,29,5,0,0,1974,,
154,Male,Yes,White,Yes,Yes,1917,2001,Yes,39,7,0,0,1929,,
155,Male,Yes,White,No,Yes,1950,2001,Yes,52,7,0,1,1975,,1975
156,Male,Yes,White,No,Yes,1963,2001,Yes,20,5,0,1,1988,,1995
157,Male,Yes,White,No,Yes,1931,2001,Yes,32,8,0,0,1972,,
158,Male,Yes,White,No,Yes,1942,1972,No,14,4,0,1,1952,,1953
159,Female,Yes,White,No,Yes,1946,2001,Yes,12,2,0,2,1980,,1996
160,Female,No,White,No,No,1909,1996,No,9,3,0,0,1935,,
161,Female,No,White,No,Yes,1944,2001,Yes,22,4,1,1,1964,1989,1989
162,Female,No,Hispanic,Yes,Yes,1915,1992,No,18,2,0,0,1939,,
163,Female,Yes,White,No,Yes,1939,2001,Yes,43,2,0,1,1969,,1975
164,Male,No,White,No,Yes,1902,1986,No,44,7,0,1,1924,,1939
165,Male,Yes,White,No,No,1936,1990,No,9,2,0,0,1965,,
166,Male,No,White,No,No,1899,1972,No,107,11,0,1,1926,,1939
167,Male,Yes,White,No,Yes,1910,1986,No,104,10,1,1,1931,1949,1949
168,Female,Yes,White,No,Yes,1967,2001,Yes,12,3,0,0,1985,,
169,Male,Yes,White,No,Yes,1946,2001,Yes,63,6,0,1,1969,,1990
170,Male,Yes,White,No,Yes,1936,2001,Yes,71,16,0,1,1960,,1978
171,Male,Yes,White,No,No,1934,2001,Yes,10,0,0,0,1975,,
172,Male,No,White,Yes,No,1955,2001,Yes,33,8,0,0,1980,,
173,Male,Yes,White,No,No,1915,1986,No,19,1,0,0,1937,,
174,Male,Yes,White,No,Yes,1908,1997,No,122,14,0,2,1936,,1975
175,Male,Yes,White,Yes,Yes,1909,1995,No,52,16,1,1,1946,1958,1958
176,Male,Yes,White,No,Yes,1913,1994,No,97,31,1,4,1946,1960,1953
177,Male,Yes,White,No,No,1936,2001,Yes,100,6,0,1,1959,,1997
178,Male,Yes,White,Yes,Yes,1940,2001,Yes,58,4,0,1,1971,,1974
179,Female,Yes,Multiracial,Yes,No,1911,1995,No,19,6,0,0,1939,,
180,Male,Yes,White,No,Yes,1918,1994,No,166,12,0,0,1945,,
181,Female,Yes,White,Yes,Yes,1946,2001,Yes,34,6,0,1,1966,,1971
182,Female,Yes,White,No,Yes,1947,2001,Yes,29,3,0,1,1972,,1972
183,Female,Yes,White,Yes,Yes,1925,2001,Yes,22,5,0,1,1943,,1958
184,Male,Yes,White,No,No,1926,1959,No,99,16,0,0,1929,,
185,Female,Yes,White,No,Yes,1940,2001,Yes,12,4,0,0,1975,,
186,Male,No,Multiracial,No,No,1912,1986,No,8,0,0,0,1944,,
187,Female,Yes,White,No,Yes,1914,1995,No,9,2,0,0,1953,,
188,Female,Yes,White,No,No,1935,2001,Yes,8,4,0,0,1971,,
189,Female,Yes,White,No,No,1933,2001,Yes,30,4,0,0,1963,,
190,Female,Yes,White,No,No,1923,2001,Yes,14,2,0,1,1950,,1967
191,Female,Yes,White,No,No,1952,2001,Yes,64,9,0,1,1969,,1975
192,Female,Yes,White,Yes,No,1908,1942,No,75,9,0,1,1920,,1936
193,Female,Yes,White,No,Yes,1964,2001,Yes,1,0,0,0,1991,,
194,Female,Yes,White,No,Yes,1930,2001,Yes,6,1,0,0,1961,,
195,Female,Yes,White,No,Yes,1929,1983,No,48,8,0,1,1952,,1957
196,Female,Yes,White,No,Yes,1946,2001,Yes,35,3,0,1,1969,,1970
197,Female,Yes,White,No,Yes,1931,2001,Yes,18,4,0,1,1953,,1956
198,Female,Yes,White,No,Yes,1901,1974,No,32,2,0,0,1927,,
199,Male,No,White,Yes,No,1904,1986,No,89,23,0,2,1932,,1937
200,Female,Yes,White,No,No,1943,2001,Yes,8,1,0,1,1969,,1969
201,Female,Yes,White,No,Yes,1918,2001,Yes,28,2,0,0,1924,,
202,Female,No,White,Yes,Yes,1943,2001,Yes,73,6,0,1,1956,,1992
203,Female,Yes,White,No,No,1961,2001,Yes,23,2,0,1,1980,,1980
204,Female,Yes,White,Yes,Yes,1923,1970,No,19,5,0,0,1946,,
205,Male,No,White,No,Yes,1921,1992,No,47,9,0,0,1958,,
206,Male,No,White,No,No,1891,1973,No,104,19,0,2,1934,,1948
207,Female,Yes,White,No,No,1919,2001,Yes,39,9,1,3,1946,1947,1947
208,Female,No,White,No,Yes,1908,1982,No,16,6,0,1,1943,,1946
209,Female,No,White,No,Yes,1897,1979,No,43,6,0,0,1934,,
210,Female,Yes,White,No,Yes,1939,2001,Yes,9,2,0,0,1962,,
211,Male,Yes,White,No,Yes,1889,1967,No,95,14,0,3,1929,,1943
212,Male,No,White,No,Yes,1899,1978,No,80,14,0,4,1920,,1937
213,Male,No,White,No,No,1889,1977,No,163,45,0,2,1914,,1928
214,Male,Yes,White,No,Yes,1935,2001,Yes,30,4,0,0,1971,,
215,Male,Yes,White,No,Yes,1877,1961,No,71,16,1,3,1934,1943,1941
216,Male,Yes,White,No,Yes,1933,2001,Yes,93,18,0,2,1965,,1982
217,Male,Yes,White,No,No,1935,2001,Yes,41,7,0,0,1964,,
218,Male,Yes,White,No,No,1921,1978,No,59,6,0,0,1948,,
219,Male,No,White,No,Yes,1888,1969,No,102,22,0,0,1930,,
220,Male,No,White,No,Yes,1941,2001,Yes,4,2,0,0,1979,,
221,Male,No,White,No,Yes,1899,1962,No,55,20,1,3,1929,1933,1933
222,Male,Yes,White,No,No,1936,2001,Yes,67,8,0,0,1969,,
223,Male,Yes,White,No,Yes,1925,2001,Yes,36,11,0,0,1964,,
224,Male,No,White,No,No,1904,2001,Yes,52,0,0,0,1930,,
225,Female,No,White,No,Yes,1946,2001,Yes,42,8,0,0,1956,,
226,Male,Yes,White,Yes,Yes,1924,2001,Yes,99,16,1,1,1949,1959,1959
227,Male,Yes,White,No,No,1951,2001,Yes,16,3,0,1,1983,,1994
228,Female,Yes,White,Yes,Yes,1946,2001,Yes,22,4,1,2,1965,1987,1983
229,Male,Yes,White,No,Yes,1901,1970,No,87,5,0,1,1917,,1929
230,Male,No,Black,Yes,Yes,1899,1981,No,11,3,0,1,1969,,1970
231,Male,Yes,White,No,No,1903,1978,No,104,9,0,1,1934,,1960
232,Male,No,White,No,Yes,1949,2001,Yes,53,5,0,0,1974,,
233,Male,Yes,White,No,Yes,1942,2001,Yes,39,9,0,1,1974,,1975
234,Male,Yes,Multiracial,No,No,1894,1953,No,78,12,0,0,1929,,
235,Female,Yes,White,No,Yes,1950,2001,Yes,28,10,0,1,1978,,1984
236,Male,Yes,White,No,Yes,1961,2001,Yes,30,3,0,0,1968,,
237,Male,Yes,White,No,No,1938,2001,Yes,74,6,0,0,1975,,
238,Male,Yes,White,No,Yes,1952,2001,Yes,42,2,0,0,1977,,
239,Male,Yes,White,No,Yes,1943,2001,Yes,55,6,1,1,1968,1978,1978
240,Male,Yes,White,No,No,1938,2001,Yes,36,3,0,0,1968,,
241,Female,Yes,Multiracial,No,Yes,1933,2001,Yes,46,17,0,1,1959,,1972
242,Female,Yes,White,No,No,1948,2001,Yes,32,5,0,0,1970,,
243,Female,Yes,White,No,Yes,1913,1966,No,63,8,0,0,1940,,
244,Female,Yes,White,Yes,Yes,1909,2001,Yes,71,11,1,3,1933,1948,1937
245,Male,Yes,White,No,Yes,1959,2001,Yes,28,3,0,0,1983,,
246,Male,No,White,No,No,1891,1970,No,69,8,0,0,1929,,
247,Female,No,White,No,Yes,1880,1962,No,113,16,0,0,1914,,
248,Male,Yes,White,No,Yes,1901,1960,No,56,15,1,3,1924,1934,1934
249,Male,No,White,No,Yes,1889,1967,No,59,21,0,4,1933,,1939
250,Male,Yes,White,No,No,1907,1985,No,17,2,0,0,1950,,
251,Female,No,White,Yes,No,1903,1996,No,67,11,1,3,1927,1934,1934
253,Male,Yes,White,No,Yes,1893,1953,No,150,14,0,0,1931,,
254,Male,Yes,White,No,Yes,1936,2001,Yes,25,5,0,0,1969,,
255,Male,Yes,White,No,Yes,1925,2001,Yes,79,6,1,1,1943,1968,1968
256,Male,Yes,White,Yes,No,1893,1966,No,26,7,0,3,1924,,1944
257,Male,Yes,White,No,Yes,1930,2001,Yes,72,17,0,1,1955,,1992
258,Female,Yes,White,No,No,1926,2001,Yes,93,12,1,1,1955,1971,1971
259,Male,Yes,White,No,Yes,1948,2001,Yes,43,3,0,0,1976,,
260,Male,No,White,No,Yes,1930,1987,No,39,8,0,0,1961,,
261,Male,No,White,No,Yes,1960,2001,Yes,19,6,0,0,1984,,
262,Male,Yes,White,No,Yes,1896,1980,No,12,1,0,0,1929,,
263,Male,No,White,No,Yes,1888,1968,No,61,12,0,0,1918,,
264,Female,Yes,White,No,Yes,1924,1991,No,52,13,0,0,1959,,
265,Female,Yes,White,No,Yes,1926,2001,Yes,1,1,0,1,1952,,1952
266,Female,Yes,White,No,Yes,1943,2001,Yes,37,7,0,0,1975,,
267,Female,Yes,White,No,No,1901,1985,No,88,11,0,0,1940,,
268,Female,Yes,White,No,Yes,1880,1955,No,33,12,0,0,1935,,
269,Male,No,White,No,Yes,1923,2001,Yes,17,3,0,0,1944,,
270,Female,No,White,No,Yes,1929,2001,Yes,26,2,0,0,1947,,
271,Female,Yes,White,No,Yes,1898,1979,No,21,1,0,1,1918,,1929
272,Female,No,White,No,Yes,1937,2001,Yes,16,3,0,0,1961,,
273,Male,Yes,White,No,Yes,1915,1989,No,44,2,0,1,1940,,1945
274,Male,Yes,White,No,Yes,1946,2001,Yes,44,9,0,0,1971,,
275,Male,Yes,White,No,Yes,1954,2001,Yes,25,3,0,0,1975,,
276,Male,No,White,Yes,Yes,1882,1965,No,133,21,0,0,1914,,
277,Male,Yes,White,No,No,1964,2001,Yes,23,5,0,0,1980,,
278,Male,Yes,White,No,Yes,1968,2001,Yes,15,3,1,1,1988,1996,1996
279,Female,Yes,White,No,Yes,1950,2001,Yes,30,4,0,0,1971,,
280,Male,Yes,White,No,No,1893,1967,No,122,15,0,0,1922,,
281,Male,Yes,White,No,No,1932,2001,Yes,79,10,0,0,1964,,
282,Female,Yes,White,No,Yes,1897,2001,Yes,35,9,0,0,1922,,
283,Male,No,White,No,No,1950,2001,Yes,78,13,0,1,1974,,1989
284,Male,Yes,White,Yes,No,1917,1978,No,54,1,0,1,1940,,1948
285,Male,No,White,No,Yes,1919,2001,Yes,64,6,0,1,1938,,1954
286,Male,Yes,White,No,Yes,1915,1993,No,52,11,0,0,1942,,
287,Female,Yes,White,No,Yes,1942,2001,Yes,19,6,0,0,1984,,
288,Male,No,White,No,No,1907,1986,No,50,8,0,0,1946,,
289,Male,No,White,No,Yes,1957,2001,Yes,17,8,1,2,1971,1989,1989
290,Male,No,White,No,Yes,1933,1998,No,26,5,0,1,1943,,1968
291,Male,Yes,White,No,Yes,1933,2001,Yes,70,15,0,1,1973,,1989
292,Male,Yes,White,No,No,1944,2001,Yes,59,10,0,0,1968,,
293,Male,Yes,Multiracial,No,Yes,1947,2001,Yes,44,10,0,0,1979,,
294,Female,Yes,White,No,Yes,1960,2001,Yes,30,2,0,0,1978,,
295,Male,Yes,White,No,No,1929,2001,Yes,8,1,0,0,1961,,
296,Male,Yes,White,No,Yes,1952,2001,Yes,23,3,0,0,1956,,
297,Male,Yes,White,No,Yes,1908,2001,Yes,30,9,0,0,1941,,
298,Male,Yes,White,No,Yes,1943,2001,Yes,42,9,0,0,1973,,
299,Male,Yes,White,No,Yes,1954,2001,Yes,38,3,0,0,1964,,
300,Male,No,White,No,Yes,1933,2001,Yes,84,6,0,0,1950,,
301,Male,No,White,No,No,1910,1983,No,114,17,1,1,1935,1958,1935
302,Male,Yes,White,No,Yes,1954,2001,Yes,40,4,0,1,1979,,1992
303,Male,Yes,White,No,Yes,1943,2001,Yes,24,3,0,0,1973,,
304,Male,Yes,White,No,Yes,1921,1973,No,8,1,0,0,1961,,
305,Male,No,White,No,Yes,1941,2001,Yes,93,12,0,0,1963,,
306,Female,No,White,No,Yes,1930,1985,No,43,2,0,0,1951,,
307,Male,Yes,White,No,Yes,1903,1991,No,103,18,1,1,1929,1949,1949
308,Male,Yes,White,No,Yes,1935,2001,Yes,104,13,0,1,1945,,1988
309,Female,Yes,White,Yes,No,1932,2001,Yes,56,8,0,1,1948,,1964
310,Female,Yes,White,No,No,1957,2001,Yes,2,1,0,0,1965,,
311,Female,No,White,No,Yes,1921,2001,Yes,57,19,0,6,1934,,1949
312,Female,Yes,White,No,Yes,1953,2001,Yes,34,1,0,0,1973,,
313,Female,Yes,White,No,Yes,1955,2001,Yes,21,4,0,3,1976,,1982
314,Female,Yes,White,No,Yes,1905,1979,No,31,1,0,0,1923,,
315,Female,Yes,White,Yes,Yes,1962,2001,Yes,32,1,0,0,1978,,
316,Male,No,White,No,Yes,1922,1992,No,105,20,0,1,1949,,1986
317,Male,No,White,No,Yes,1927,2001,Yes,20,5,0,0,1955,,
318,Male,Yes,White,No,Yes,1936,2001,Yes,92,18,0,1,1953,,1955
319,Male,Yes,White,No,Yes,1954,2001,Yes,36,7,1,4,1977,1989,1987
320,Male,Yes,White,No,Yes,1898,1950,No,151,22,0,0,1931,,
321,Male,Yes,White,No,Yes,1923,1990,No,6,2,0,1,1955,,1986
322,Female,Yes,Multiracial,Yes,Yes,1935,2001,Yes,23,4,0,1,1954,,1974
323,Female,Yes,White,No,Yes,1919,1997,No,21,2,0,0,1934,,
324,Female,Yes,Multiracial,No,Yes,1944,2001,Yes,17,0,0,1,1972,,1972
325,Female,Yes,White,No,Yes,1955,2001,Yes,31,1,0,1,1977,,1980
326,Female,No,White,Yes,Yes,1906,1964,No,18,2,0,1,1932,,1933
327,Female,No,White,No,Yes,1933,2001,Yes,30,5,0,1,1952,,1963
328,Female,Yes,White,Yes,Yes,1946,2001,Yes,39,13,1,3,1970,1977,1974
329,Female,Yes,White,No,Yes,1938,1992,No,11,2,0,1,1957,,1957
330,Female,Yes,White,Yes,Yes,1939,2001,Yes,50,6,0,3,1961,,1974
331,Female,Yes,White,No,Yes,1948,2001,Yes,25,6,2,3,1980,1986,1986
332,Male,Yes,White,No,Yes,1930,2001,Yes,14,2,0,0,1954,,
333,Male,Yes,White,No,Yes,1910,1979,No,94,4,0,0,1934,,
334,Male,Yes,White,No,No,1928,2001,Yes,56,2,0,0,1941,,
335,Female,Yes,White,Yes,Yes,1928,2001,Yes,41,5,0,0,1957,,
336,Male,Yes,Middle Eastern,Yes,No,1908,1993,No,78,10,1,1,1935,1985,1985
337,Male,Yes,White,No,Yes,1899,2001,Yes,83,19,0,0,1932,,
338,Male,Yes,White,No,Yes,1929,2001,Yes,63,7,0,1,1947,,1956
339,Male,Yes,White,No,Yes,1920,1998,No,63,9,0,0,1943,,
340,Male,Yes,White,No,No,1902,1988,No,34,2,0,0,1928,,
341,Male,No,White,No,Yes,1943,1999,No,26,5,0,0,1966,,
342,Male,No,White,No,Yes,1880,1974,No,161,29,1,1,1910,1941,1941
343,Male,No,White,No,Yes,1919,1995,No,184,16,0,0,1955,,
344,Male,No,White,No,Yes,1935,2001,Yes,96,12,0,0,1957,,
345,Female,Yes,White,No,No,1957,2001,Yes,13,1,0,0,1981,,
346,Female,Yes,White,Yes,Yes,1921,1986,No,48,8,1,1,1931,1953,1945
347,Female,Yes,White,No,No,1911,1983,No,67,6,0,0,1937,,
